契約,ch,種別,CIRCUITNUMBER,EXTRANUMBER,Product,ch,消費,tenant,,請求確認企業,必要対応,,"回線数
0ABJ:¥500 FC:¥2,000","ch
¥1,500
ユニットchの対応が必要かどうか",IP回線基本料,担当,
"【再販050番号契約１６】050番号（SC-circuit08 ①）
d291302030
10ch
本契約コードの次回申請は7/20以降の申請が可能",6,基本番号,05030980057,,Lead,,,,,,,,,,,,
,,追加番号,05030980068,0120926044,Lead,2ch,2ch,takumiwp01,,匠ワランティアンドプロテクション株式会社,対応不要,,請求開始前,"請求開始前
【ユニットch対応】以下4パターン
①手数料をいただいてグループ化を実施
②10chを5回線で分け合うか（SCのため制御不可）
③回線それぞれ必要最大数分いただくか
④拡大を見越して専用契約とするか",なし,atsuki,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3A4fkzQfmNRwrz8XX8NgDomw
,,追加番号,05030980070,0120925912,Lead,2ch,2ch,takumiwp02,,,,,,,,,
,,追加番号,05030980275,0120926616,Lead,2ch,2ch,takumiwp02,,,,,,,,,
,,追加番号,05030980276,0120929167,Lead,,,未定,,,,,,,,,
,,追加番号,05030980279,0120569478,Lead,,,未定,,,,,,,,,
,,,,,,,,,,,,,,,,,
"【共有回線】株式会社スマートテック／050用
※共有回線のため、契約コード開示なし（SA-circuit09）
70ch
本契約コードの次回申請は6/6以降の申請が可能
※「【共有回線】株式会社スマートテック／03用」とセットで70ch利用の為、特別契約",70,基本番号,不明,,,,,No matching records found,,,,,,,,,
,,追加番号,05030946217,,Lead,70ch,70ch,smart-tech,,株式会社スマートテック,請求修正ー確認必要,,◯,"【ユニットch対応】特殊ケースのため例外

150のため特殊ケース？確認必要であればmasaさん確認",なし,masaru,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3A3c9lrI8jc8B8XpHK86FZfA
,,追加番号,05030946242,,Lead,70ch,,smart-tech,,,,,,,,,
,,,,,,,,,,,,,,,,,
"【共有回線】株式会社スマートテック／03用
※共有回線のため、契約コード開示なし（SA-circuit09）
70ch
本契約コードの次回申請は6/6以降の申請が可能
※「【共有回線】株式会社スマートテック／050用」とセットで70ch利用の為、特別契約",70,基本番号,不明,,,,,No matching records found,,,,,,,,,
,,追加番号,0343661598,,Lead,70ch,70ch,smart-tech,,,,,,,,,
,,追加番号,0343661560,,Lead,70ch,,smart-tech,,,,,,,,,
,,追加番号,0343661596,,Lead,70ch,,smart-tech,,,,,,,,,
,,追加番号,0342211788,,Lead,70ch,,smart-tech,,,,,,,,,
,,,,,,,,,,,,,,,,,
"【再販06番号契約１】06番号（C-circuit05 ①）
d065965010
2ch
本契約コードの次回申請は4/25以降の申請が可能",2,基本番号,0671784104,,,,,No matching records found,,,,,,,,,
,,追加番号,0671784105,,Lead,2ch,2ch,wellspartners01,,株式会社Wells Partners,,,,,,,
,,,,,,,,,,,,,,,,,
"【再販06番号契約２】06番号（C-circuit05 ②）
d234429286
20ch
本契約コードの次回申請は4/25以降の申請が可能",20,基本番号,0671784108,,,,,No matching records found,,,,,,,,,
,,追加番号,0671784109,,Lead,20ch,20ch,mljp,,株式会社メインランドジャパン,請求修正ー確認必要,IP回線基本料ー確認必要,【過剰】番号利用料フリーダイヤル：1過剰,"◯

【ユニットch対応】以下3パターン
①手数料をいただいてグループ化を実施
②20chを6回線で分け合うか
③20*6で120chいただくか","あり（4,500）",,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3AK2Vtet83qJTPPeGqMXq4Nw
,,追加番号,0671784110,,Lead,20ch,,mljp,,,,,,,,,
,,追加番号,0671784111,,Lead,20ch,,mljp,,,,,,,,,
,,追加番号,0671784112,,Lead,20ch,,mljp,,,,,,,,,
,,追加番号,0671784113,,Lead,20ch,,mljp,,,,,,,,,
,,追加番号,0671784118,,Lead,20ch,,mljp,,,,,,,,,
,,,,,,,,,,,,,,,,,
"【再販06番号契約３】06番号（C-circuit08,circuit09,circuit10）
d031216569
15ch
本契約コードの次回申請は4/19以降の申請が可能",5,基本番号,0671784124,,,,,No matching records found,,,,,,,,,
,,追加番号,0671784127,,Lead,1ch,1ch,movegear,,株式会社Move Gear,請求修正ー確認必要,,◯,【不足】チャネル利用料：1ch不足,なし,ayui,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3A_STU88W7aBcc_bI30cHEdg
,,追加番号,0671675652,0120959448,Lead,1ch,1ch,movegear,,,,,,,,,
,,追加番号,0649802289,,Lead,3ch,3ch,mjeinc,,株式会社MJE,対応不要,,◯,◯,なし,,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3A_TjaKiLpUOZWBYk3QCaHgA
,,,,,,,,,,,,,,,,,
"【再販06番号契約４】06番号（C-circuit05 ③）
d456824429
17ch
本契約コードの次回申請は8/18以降の申請が可能",13,基本番号,0671784116,,,,,No matching records found,,,,,,,,,
,,追加番号,0671784117,,Lead,8ch,8ch,i-sta,,株式会社アイ・ステーション,,,,,,,
,,追加番号,0649802265,,Flat,2ch,2ch,coin-tax,,コインタックス株式会社,対応不要,,◯,◯,なし,,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3AYDhn8nm6F-n7zO3tPLLhxQ
,,追加番号,0649802320,,Flat,2ch,2ch,coin-tax,,,,,,,,,
,,追加番号,0649802333,0120983033,Flat,1ch,1ch,ribias,,株式会社リビアス,対応不要,,◯,◯,なし,,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3APjvaWWhs8QOzvYJhZbTNyg
